	0271107-B	*COM* WORM WHEEL		QIHOLD	stop	0.00	0.00	0.00
	0271129-325	OUTER TUBE ALU MACH 325 MM		QIHOLD	stop	0.00	0.00	0.00
	0271129-370	OUTER TUBE ALU MACH 370 MM		QIHOLD	stop	0.00	0.00	0.00
	0271131-C	BASEPART IP66 - RAL 7016		QIHOLD	stop	0.00	0.00	0.00
	0271391-137	OUTER TUBE LA27 HILLROM		QIHOLD	stop	0.00	0.00	0.00
	0271445-C	BASE PART PP PLASTIC V2 RAL 70		QIHOLD	stop	0.00	0.00	0.00
	0633355-A	Top Frame Outer profile SC		QI	403751A	-1,246.00	-1,246.00	-138.06
	0634116-A36-466	INNER PROFILE DL12A PLATINUM		QIHOLD	stop	0.00	0.00	0.00
	0634118-A36-460	MIDDLE PROFILE DL12A PLATINUM		QIHOLD	stop	0.00	0.00	0.00
	0634120-A36-469	DL12A OUTER PROFILE PLATINUM		QIHOLD	stop	0.00	0.00	0.00
	0964497-1320	JOERNS CB6/LA27 CABLE-1320MM		QI	304382A	-717.00	-717.00	-849.52
	0965079-B	HILL ROM LA27 MICROFIT CABLE		QIHOLD	stop	0.00	0.00	0.00
	3420138-335	LA44  Kanban OT   HP		QIHOLD	stop	-3.00	-3.00	-8.83
	3430006-314.5-01	INNER TUBE LA27 L=314.5 MM		QI	163391a	-10.00	-10.00	-14.59
	3430006-341.5-05	INNER TUBE LA27 L=341.5 MM		QIHOLD	stop	1.00	1.00	1.37
	3430024-118.5-01	INNER TUBE PAINTED LA27		QIHOLD	stop	0.00	0.00	0.00
	SC00-U003-00	STAFF CONTROLLER-BASIC AMERICA		QI	stop	0.00	0.00	0.00
14668662	SC00-U003-00	STAFF CONTROLLER-BASIC AMERICA	8/1/2009	QI	stop	0.00	0.00	0.00
19485009	3430006-314.5-01	INNER TUBE LA27 L=314.5 MM	3/8/2013	QI	163391a	15.00	15.00	21.89
20464895	3430006-314.5-01	INNER TUBE LA27 L=314.5 MM		QI	163391a	-5.00	-5.00	-7.30
22502775	0964497-1320	JOERNS CB6/LA27 CABLE-1320MM		QI	304382A	-2,160.00	-2,160.00	-2,681.30
22502775	0964497-1320	JOERNS CB6/LA27 CABLE-1320MM	8/6/2015	QI	304382A	2,277.00	2,277.00	2,697.80
22502798	0964497-1320	JOERNS CB6/LA27 CABLE-1320MM	8/6/2015	QI	304382A	600.00	600.00	710.88
24299239	0633355-A	Top Frame Outer profile SC	9/7/2016	QI	403751A	1,246.00	1,246.00	139.56
24388742	0964842-B	ALLEN MEDICAL DIN CABLE	10/24/2016	QIHOLD	413710A	49.00	49.00	48.57
24801769	0648669-A01-594	DL56 OUTER PROFILE - BLACK	11/30/2016	QIHOLD	stop	1.00	1.00	5.46
24873517	DPSC-U002-00	OLOGY ADVANCED SWITCH	11/8/2016	QIHOLD	415052A	133.00	133.00	1,727.94
24882898	00940020	MOUNTING BRACKET JUMBO	1/16/2017	QIHOLD	stop	3.00	3.00	4.23
24892815	DPSC-U002-00	OLOGY ADVANCED SWITCH	11/8/2016	QIHOLD	415050A	96.00	96.00	1,242.39
25001432	0271130-D	TOPPART IP66 RAL 7016 MINI FIT	3/2/2017	QIHOLD	stop	2.00	2.00	0.41
25042253	0271130-D	TOPPART IP66 RAL 7016 MINI FIT	2/24/2017	QIHOLD	stop	16.00	16.00	3.25
25078951	0728025	S7.2 RH STRAIGHT CONN, BLACK	1/30/2017	QIHOLD	stop	1.00	1.00	7.56
25099580	0648553-A01-635	INNER PROFILE - DL5-BLACK	1/4/2017	QIHOLD	stop	5.00	5.00	34.23
25146075	0648553-A22-635	INNER PROFILE - DL5-WHITE	1/12/2017	QIHOLD	stop	1.00	1.00	8.13
25179627	0648553-A120-635	INNER PROFILE - DL5-SILVER	3/23/2017	QIHOLD	stop	3.00	3.00	23.66
25189709	0728089	S7.1-51.5" STRTCHR STRT-PLAT	1/17/2017	QIHOLD	stop	2.00	2.00	36.62
25250014	0728089	S7.1-51.5" STRTCHR STRT-PLAT	2/21/2017	QIHOLD	stop	1.00	1.00	19.03
25300239	0634116-A123-466	DL12A INNER PROFILE WHITE	2/16/2017	QIHOLD	stop	2.00	2.00	12.14
25301974	0611675-A00	DL4S PROFILER,NESTED	5/15/2017	QIHOLD	467321A	2.00	2.00	39.42
